                                                                                                long_title                                                                                                | survived_avg_age 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------
 Acute and subacute hepatic failure with coma                                                                                                                                                             |            59.57
 Acute duodenal ulcer with hemorrhage and perforation, without mention of obstruction                                                                                                                     |            78.00
 Acute meningococcemia                                                                                                                                                                                    |            74.00
 Anoxic brain damage, not elsewhere classified                                                                                                                                                            |            50.88
 Brain death                                                                                                                                                                                              |            46.88
 Brain death                                                                                                                                                                                              |            43.00
 Cardiac arrest, cause unspecified                                                                                                                                                                        |            61.21
 Cerebral arteritis in other diseases classified elsewhere                                                                                                                                                |            74.00
 Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries                                                                                                       |            67.00
 Closed fracture of base of skull with cerebral laceration and contusion, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level                       |            26.33
 Closed fracture of base of skull with other and unspecified intracranial hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level           |            26.00
 Closed fracture of base of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level       |            26.20
 Closed fracture of C1-C4 level with complete lesion of cord                                                                                                                                              |            53.00
 Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level      |            34.00
 Coma                                                                                                                                                                                                     |            54.62
 Coma scale, best motor response, abnormal flexion, at arrival to emergency department                                                                                                                    |            59.50
 Coma scale, best motor response, extension, at arrival to emergency department                                                                                                                           |            64.50
 Coma scale, best motor response, extension, at hospital admission                                                                                                                                        |            76.00
 Coma scale, best motor response, flexion withdrawal, at hospital admission                                                                                                                               |            49.80
 Coma scale, best motor response, none, 24 hours or more after hospital admission                                                                                                                         |            49.00
 Coma scale, best motor response, none, at hospital admission                                                                                                                                             |            53.67
 Coma scale, best verbal response, none, 24 hours or more after hospital admission                                                                                                                        |            57.00
 Coma scale, eyes open, never, 24 hours or more after hospital admission                                                                                                                                  |            32.00
 Diffuse acute (reversible) ischemia of small intestine                                                                                                                                                   |            73.00
 Fracture of base of skull, left side, initial encounter for closed fracture                                                                                                                              |            25.00
 Gastric contents in other parts of respiratory tract causing asphyxiation, initial encounter                                                                                                             |            78.00
 Glasgow coma scale score 3-8, in the field [EMT or ambulance]                                                                                                                                            |            55.33
 Intentional self-harm by handgun discharge, initial encounter                                                                                                                                            |            91.00
 Intracranial injury of other and unspecified nature without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level |            31.50
 NIHSS score 29                                                                                                                                                                                           |            57.75
 NIHSS score 33                                                                                                                                                                                           |            79.50
 Nontraumatic compartment syndrome of abdomen                                                                                                                                                             |            57.52
 Other closed skull fracture with subarachnoid, subdural, and extradural hemorrhage, with prolonged [more than 24 hours] loss of consciousness, without return to pre-existing conscious level            |            35.33
 Other incomplete lesion at C3 level of cervical spinal cord, initial encounter                                                                                                                           |            54.00
 Personal history of malignant neoplasm of unspecified respiratory organ                                                                                                                                  |            72.00
 Subarachnoid hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level            |            37.43
 Subdural hemorrhage following injury without mention of open intracranial wound, with prolonged [more than 24 hours] loss of consciousness without return to pre-existing conscious level                |            48.75
 Traumatic cerebral edema with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter                                                   |            38.00
 Traumatic subdural hemorrhage with loss of consciousness of any duration with death due to brain injury before regaining consciousness, initial encounter                                                |            84.00
 Type 1 diabetes mellitus with ketoacidosis with coma                                                                                                                                                     |            70.00
 Unspecified coma                                                                                                                                                                                         |            59.08
 Unspecified fracture of shaft of left fibula, initial encounter for open fracture type I or II                                                                                                           |            52.00
 Ventricular septal defect as current complication following acute myocardial infarction                                                                                                                  |            78.00
(43 rows)

