                                drug                                 | prescription_count 
---------------------------------------------------------------------+--------------------
 Sodium Chloride 0.9%  Flush                                         |               9687
 Acetaminophen                                                       |               7139
 Heparin                                                             |               5881
 0.9% Sodium Chloride                                                |               5578
 Docusate Sodium                                                     |               4501
 Insulin                                                             |               4458
 Senna                                                               |               3995
 Potassium Chloride                                                  |               3340
 Ondansetron                                                         |               3032
 Magnesium Sulfate                                                   |               2711
 Dextrose 50%                                                        |               2596
 Glucagon                                                            |               2541
 HYDROmorphone (Dilaudid)                                            |               2392
 Bag                                                                 |               2347
 5% Dextrose                                                         |               2332
 Iso-Osmotic Dextrose                                                |               2203
 Bisacodyl                                                           |               2081
 Morphine Sulfate                                                    |               2046
 Lactated Ringers                                                    |               1889
 Pantoprazole                                                        |               1744
 Glucose Gel                                                         |               1675
 Aspirin                                                             |               1667
 Influenza Vaccine Quadrivalent                                      |               1628
 Calcium Gluconate                                                   |               1621
 Metoprolol Tartrate                                                 |               1601
 Influenza Virus Vaccine                                             |               1580
 Lorazepam                                                           |               1562
 OxycoDONE (Immediate Release)                                       |               1412
 Sodium Chloride 0.9%                                                |               1384
 Omeprazole                                                          |               1320
 Atorvastatin                                                        |               1188
 Furosemide                                                          |               1177
 Vancomycin                                                          |               1153
 Albuterol 0.083% Neb Soln                                           |               1112
 Gabapentin                                                          |               1085
 SW                                                                  |               1048
 Calcium Carbonate                                                   |               1001
 Vial                                                                |                993
 NS                                                                  |                984
 Potassium Chloride Replacement (Critical Care and Oncology)         |                979
 Vitamin D                                                           |                918
 Multivitamins                                                       |                913
 Levothyroxine Sodium                                                |                900
 0.9% Sodium Chloride (Mini Bag Plus)                                |                886
 Pneumococcal Vac Polyvalent                                         |                883
 Heparin Sodium                                                      |                823
 OxyCODONE (Immediate Release)                                       |                801
 Milk of Magnesia                                                    |                776
 Polyethylene Glycol                                                 |                760
 Lisinopril                                                          |                728
 Albuterol Inhaler                                                   |                719
 PNEUMOcoccal 23-valent polysaccharide vaccine                       |                675
 Famotidine                                                          |                674
 Sterile Water                                                       |                649
 Propofol                                                            |                646
 D5W                                                                 |                646
 DiphenhydrAMINE                                                     |                641
 D5 1/2NS                                                            |                624
 Ibuprofen                                                           |                619
 FoLIC Acid                                                          |                611
 Metoprolol Succinate XL                                             |                604
 Simvastatin                                                         |                603
 LR                                                                  |                599
 Simethicone                                                         |                549
 Ketorolac                                                           |                549
 Oxycodone-Acetaminophen                                             |                542
 LORazepam                                                           |                536
 Ranitidine                                                          |                533
 Prochlorperazine                                                    |                527
 CefazoLIN                                                           |                527
 Ipratropium Bromide Neb                                             |                494
 Sodium Bicarbonate                                                  |                489
 TraZODone                                                           |                487
 PredniSONE                                                          |                487
 Heparin Flush (10 units/ml)                                         |                487
 Diazepam                                                            |                487
 1/2 NS                                                              |                484
 MetRONIDAZOLE (FLagyl)                                              |                464
 Acetaminophen IV                                                    |                454
 Fentanyl Citrate                                                    |                451
 HydrALAzine                                                         |                449
 Piperacillin-Tazobactam                                             |                448
 CefePIME                                                            |                439
 Aluminum-Magnesium Hydrox.-Simethicone                              |                433
 Potassium Chl 20 mEq / 1000 mL D5 1/2 NS                            |                420
 Metoclopramide                                                      |                410
 Iso-Osmotic Sodium Chloride                                         |                399
 Thiamine                                                            |                398
 Lactulose                                                           |                397
 Tamsulosin                                                          |                387
 Zolpidem Tartrate                                                   |                382
 Enoxaparin Sodium                                                   |                381
 Amlodipine                                                          |                378
 Warfarin                                                            |                377
 Nitroglycerin SL                                                    |                365
 Clopidogrel                                                         |                363
 Acyclovir                                                           |                357
 Ciprofloxacin HCl                                                   |                344
 CeftriaXONE                                                         |                344
 Ciprofloxacin IV                                                    |                335
 Ferrous Sulfate                                                     |                333
 Nitroglycerin                                                       |                331
 traZODONE                                                           |                324
 Fluticasone Propionate NASAL                                        |                324
 Labetalol                                                           |                318
 Soln                                                                |                316
 Carvedilol                                                          |                311
 Heparin Flush (100 units/ml)                                        |                310
 Atenolol                                                            |                308
 0.45% Sodium Chloride                                               |                302
 Allopurinol                                                         |                301
 TraMADOL (Ultram)                                                   |                285
 Sertraline                                                          |                285
 Hydrochlorothiazide                                                 |                279
 Citalopram                                                          |                275
 Ipratropium-Albuterol Neb                                           |                267
 Tacrolimus                                                          |                265
 LeVETiracetam                                                       |                265
 Lidocaine 5% Patch                                                  |                261
 Cyanocobalamin                                                      |                258
 Pravastatin                                                         |                251
 Chlorhexidine Gluconate 0.12% Oral Rinse                            |                247
 Levofloxacin                                                        |                245
 Dexamethasone                                                       |                244
 amLODIPine                                                          |                243
 HydrALAZINE                                                         |                240
 Fluticasone Propionate 110mcg                                       |                238
 Fluticasone-Salmeterol Diskus (250/50)                              |                237
 MetroNIDAZOLE                                                       |                233
 Mirtazapine                                                         |                226
 Azithromycin                                                        |                220
 ClonazePAM                                                          |                218
 Syringe                                                             |                216
 CefTRIAXone                                                         |                216
 Rosuvastatin Calcium                                                |                214
 Clonazepam                                                          |                214
 Ampicillin-Sulbactam                                                |                211
 Oxycodone-Acetaminophen (5mg-325mg)                                 |                208
 Losartan Potassium                                                  |                208
 Insulin Human Regular                                               |                207
 Mycophenolate Mofetil                                               |                205
 Docusate Sodium (Liquid)                                            |                202
 PHENYLEPHrine                                                       |                199
 Diltiazem                                                           |                199
 Tiotropium Bromide                                                  |                191
 NORepinephrine                                                      |                188
 Pregabalin                                                          |                187
 Midazolam                                                           |                187
 LevETIRAcetam                                                       |                182
 Nicotine Patch                                                      |                180
 Potassium Phosphate                                                 |                174
 Naloxone                                                            |                174
 Pantoprazole Sodium                                                 |                170
 Isosorbide Mononitrate (Extended Release)                           |                170
 Amiodarone                                                          |                170
 Aspirin EC                                                          |                169
 Spironolactone                                                      |                165
 Latanoprost 0.005% Ophth. Soln.                                     |                162
 TraMADol                                                            |                160
 MethylPREDNISolone Sodium Succ                                      |                154
 Ondansetron ODT                                                     |                153
